config_id,best_file,best_rtt,num_tasks,connection_probability,client_percentage,server_percentage,dnn1_per_server,dnn1_per_client,dnn1_initial_queue,dnn2_initial_queue
ds_0071,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0072,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0073,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0074,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0075,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0076,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0077,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0078,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0079,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0080,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0081,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0082,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0083,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0084,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0085,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0086,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0087,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0088,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0089,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
