dataset_id,num_tasks,task_ids,optimal_rtt,placement_plan,task_types
ds_00761,5,"(0, 1, 2, 3, 4)",2.1343912161321694,"{'0': [1, 7], '1': [4, 23], '2': [11, 54], '3': [1, 8], '4': [17, 84]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01043,5,"(0, 1, 2, 3, 4)",3.7625255907739765,"{'0': [14, 69], '1': [10, 51], '2': [1, 7], '3': [4, 21], '4': [11, 55]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01056,5,"(0, 1, 2, 3, 4)",1.5425304701271891,"{'0': [12, 63], '1': [5, 29], '2': [14, 70], '3': [14, 74], '4': [11, 58]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00346,5,"(0, 1, 2, 3, 4)",2.473634676676316,"{'0': [1, 4], '1': [14, 69], '2': [11, 53], '3': [11, 56], '4': [14, 70]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00459,5,"(0, 1, 2, 3, 4)",1.9938919427224693,"{'0': [16, 80], '1': [3, 16], '2': [15, 78], '3': [2, 14], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_01068,5,"(0, 1, 2, 3, 4)",0.7893494853207714,"{'0': [0, 1], '1': [1, 4], '2': [10, 49], '3': [2, 14], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00232,5,"(0, 1, 2, 3, 4)",5.4011302902960505,"{'0': [18, 93], '1': [13, 65], '2': [14, 69], '3': [4, 22], '4': [11, 54]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00373,5,"(0, 1, 2, 3, 4)",5.7238314937215655,"{'0': [14, 68], '1': [16, 80], '2': [1, 9], '3': [4, 23], '4': [14, 69]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00349,5,"(0, 1, 2, 3, 4)",0.9536641759417064,"{'0': [2, 14], '1': [12, 63], '2': [11, 53], '3': [17, 83], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00914,5,"(0, 1, 2, 3, 4)",2.747524312431956,"{'0': [2, 14], '1': [16, 80], '2': [14, 71], '3': [11, 56], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00214,5,"(0, 1, 2, 3, 4)",2.499489972598401,"{'0': [17, 85], '1': [0, 1], '2': [4, 22], '3': [13, 67], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00286,5,"(0, 1, 2, 3, 4)",0.6053789504272113,"{'0': [1, 4], '1': [5, 29], '2': [11, 53], '3': [11, 56], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00732,5,"(0, 1, 2, 3, 4)",3.4491331937305354,"{'0': [17, 83], '1': [17, 85], '2': [11, 56], '3': [4, 20], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00174,5,"(0, 1, 2, 3, 4)",6.287133744108041,"{'0': [2, 14], '1': [0, 2], '2': [4, 22], '3': [13, 65], '4': [11, 54]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00519,5,"(0, 1, 2, 3, 4)",1.7978397672683506,"{'0': [16, 80], '1': [11, 54], '2': [15, 78], '3': [2, 14], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00461,5,"(0, 1, 2, 3, 4)",1.5456585331134982,"{'0': [17, 85], '1': [4, 22], '2': [11, 55], '3': [1, 6], '4': [14, 71]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00377,5,"(0, 1, 2, 3, 4)",1.1965403498460732,"{'0': [14, 68], '1': [12, 63], '2': [16, 79], '3': [11, 54], '4': [16, 80]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00037,5,"(0, 1, 2, 3, 4)",5.997508169583341,"{'0': [14, 68], '1': [15, 78], '2': [16, 79], '3': [13, 65], '4': [4, 21]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_01022,5,"(0, 1, 2, 3, 4)",6.610166607642472,"{'0': [15, 78], '1': [14, 72], '2': [11, 57], '3': [16, 82], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00878,5,"(0, 1, 2, 3, 4)",1.3592299764417208,"{'0': [0, 1], '1': [1, 5], '2': [12, 63], '3': [2, 14], '4': [17, 85]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00943,5,"(0, 1, 2, 3, 4)",1.8325290607782938,"{'0': [13, 65], '1': [11, 57], '2': [11, 58], '3': [4, 22], '4': [14, 74]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00339,5,"(0, 1, 2, 3, 4)",0.7279687329153366,"{'0': [2, 14], '1': [3, 15], '2': [11, 53], '3': [17, 84], '4': [14, 71]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00389,5,"(0, 1, 2, 3, 4)",1.288205604537774,"{'0': [2, 14], '1': [3, 15], '2': [11, 53], '3': [17, 83], '4': [10, 50]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00421,5,"(0, 1, 2, 3, 4)",4.280260297697039,"{'0': [17, 84], '1': [4, 21], '2': [11, 54], '3': [1, 7], '4': [14, 69]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00633,5,"(0, 1, 2, 3, 4)",11.185946839236804,"{'0': [12, 63], '1': [16, 82], '2': [14, 73], '3': [13, 67], '4': [11, 58]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00378,5,"(0, 1, 2, 3, 4)",0.9579107682543249,"{'0': [0, 0], '1': [1, 4], '2': [16, 79], '3': [2, 14], '4': [14, 69]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00605,5,"(0, 1, 2, 3, 4)",1.8037761441002453,"{'0': [16, 81], '1': [5, 29], '2': [4, 22], '3': [1, 6], '4': [17, 86]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00801,5,"(0, 1, 2, 3, 4)",5.3829919392494565,"{'0': [1, 7], '1': [14, 73], '2': [3, 17], '3': [14, 72], '4': [17, 86]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
